molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,inactive,434.9230000000002,6.003500000000005,2.0,3.0,4.499999953328896
CHEMBL3959584,CC(=O)N1CCc2[nH]nc(Nc3ccccc3)c2C1,inactive,256.309,2.0579,2.0,3.0,4.698970004336019
CHEMBL3968533,CC(=O)N1CCc2c(c(Nc3ccc(-c4cnn(C)c4)cc3F)nn2[C@@H]2CCOC2)C1,inactive,424.48000000000025,3.032300000000002,1.0,5.0,4.698970004336019
CHEMBL4059509,CCc1cc2cc(NS(=O)(=O)c3ccc(C#N)cc3)ccc2n(CC)c1=O,inactive,381.4570000000001,3.256280000000001,1.0,4.0,4.698970004336019
CHEMBL4097025,CNC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,inactive,525.6040000000002,4.354500000000004,1.0,5.0,4.698970004336019
CHEMBL4076748,CC(=O)N1CCc2c(c(N3CCCc4cc(-c5cnn(C)c5)c(C(F)F)cc43)nn2C2CCOCC2)C1,inactive,510.5890000000003,4.561600000000004,0.0,5.0,4.698970004336019
CHEMBL4583297,CC1(C2CC2)NC(=O)N(CC(=O)Nc2ccc(Br)c(S(=O)(=O)N3CCCCC3)c2)C1=O,inactive,513.4140000000003,2.2827,2.0,5.0,4.200000030616179
CHEMBL3785432,CCCS(=O)(=O)c1nc(NC2CC2)cc(-c2ccc3c(ccn3C3CC(C)(C)NC(C)(C)C3)c2)n1,intermediate,495.69300000000027,5.3380000000000045,2.0,6.0,5.835349784065703
CHEMBL4780530,Cc1nnc2n1-c1ccc(-c3ccc(N)nc3)cc1N(c1ccc(Cl)cc1)C[C@H]2C,inactive,416.9160000000001,5.1285200000000035,1.0,5.0,4.823908740944319
CHEMBL4873093,CC1=C(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)NC2C=CC(c3cnn(C4CC4)c3)=CN2C1=O,active,539.6370000000002,2.3053999999999997,2.0,7.0,7.522878745280337
CHEMBL4461619,CN(C)CCCOc1ccc(-c2cc(NCCCn3cccn3)nc(S(C)(=O)=O)n2)cc1,active,458.5880000000001,2.5763000000000007,1.0,8.0,6.455931955649724
CHEMBL4846726,CCOc1c(I)cc(C(N)=O)cc1OC,inactive,321.1140000000001,1.7974,1.0,3.0,4.87942606879415
CHEMBL4069412,CN1C[C@H](Nc2cnn(C)c(=O)c2Br)C[C@H](c2ccccc2)C1,intermediate,228.683,0.20749999999999985,2.0,4.0,5.823908740944319
CHEMBL4867912,Cn1ncc(N[C@@H]2CCNC2)c(Cl)c1=O,inactive,228.683,0.20749999999999985,2.0,4.0,5.0
CHEMBL4871852,Cn1ncc(N[C@H]2CCNC2)c(Cl)c1=O,inactive,256.73699999999997,0.9397999999999997,1.0,4.0,4.508638306165727
CHEMBL4072538,CN1CCC[C@@H](Nc2cnn(C)c(=O)c2Cl)C1,inactive,214.65599999999998,-0.18260000000000004,2.0,4.0,4.721246399047171
CHEMBL4853420,Cn1ncc(NC2CNC2)c(Cl)c1=O,intermediate,256.73699999999997,0.9877,2.0,4.0,5.060480747381382
CHEMBL4872107,Cn1ncc(NC2CCCCNC2)c(Cl)c1=O,intermediate,235.674,2.1773,1.0,3.0,5.113509274827518
CHEMBL4065579,Cn1ncc(Nc2ccccc2)c(Cl)c1=O,active,250.689,1.7594999999999998,2.0,4.0,6.022276394711152
CHEMBL4861822,Cn1ncc(Nc2ccc(N)cc2)c(Cl)c1=O,intermediate,253.664,2.3164,1.0,3.0,5.494850021680094
CHEMBL4850913,Cn1ncc(Nc2ccc(F)cc2)c(Cl)c1=O,active,264.716,1.628,2.0,4.0,6.154901959985743
CHEMBL4857332,Cn1ncc(NCc2cccc(N)c2)c(Cl)c1=O,inactive,264.716,1.636,2.0,4.0,4.958607314841775
CHEMBL4866748,Cn1ncc(Nc2ccc(CN)cc2)c(Cl)c1=O,active,292.77,2.2389,1.0,4.0,6.5376020021010435
CHEMBL4870218,CN(C)Cc1ccc(Nc2cnn(C)c(=O)c2Cl)cc1,active,290.754,1.8229999999999997,2.0,4.0,6.508638306165727
CHEMBL4850516,Cn1ncc(Nc2ccc3c(c2)CCNC3)c(Cl)c1=O,active,290.754,1.8229999999999997,2.0,4.0,6.6020599913279625
CHEMBL4848082,Cn1ncc(Nc2ccc3c(c2)CNCC3)c(Cl)c1=O,active,289.766,3.0561000000000016,1.0,3.0,6.431798275933005
CHEMBL4858548,Cn1ncc(Nc2ccc3c(c2)CCCC3)c(Cl)c1=O,intermediate,264.716,1.636,2.0,4.0,5.4089353929735005
CHEMBL4855881,Cn1ncc(Nc2cccc(CN)c2)c(Cl)c1=O,active,264.716,1.636,2.0,4.0,6.096910013008056
CHEMBL4101756,Cn1ncc(Nc2ccccc2CN)c(Cl)c1=O,active,306.753,1.8134,2.0,4.0,6.657577319177793
CHEMBL4877118,CC(=O)NCc1ccc(Nc2cnn(C)c(=O)c2Cl)cc1,active,278.743,1.6784999999999999,2.0,4.0,6.013228265733755
CHEMBL4872300,Cn1ncc(Nc2ccc(CCN)cc2)c(Cl)c1=O,active,306.797,2.2813999999999997,1.0,4.0,7.173925197299173
CHEMBL4848138,CN(C)CCc1ccc(Nc2cnn(C)c(=O)c2Cl)cc1,active,230.69899999999998,0.40719999999999984,1.0,4.0,6.769551078621726
CHEMBL4849136,CN(C)CCNc1c(Cl)cnn(C)c1=O,inactive,323.194,1.7875999999999999,2.0,4.0,5.0
CHEMBL4861491,Cn1ncc(Nc2ccc(CCN)cc2)c(Br)c1=O,active,320.82400000000007,2.671500000000001,1.0,4.0,7.443697499232712
CHEMBL4848701,CN(C)CCCc1ccc(Nc2cnn(C)c(=O)c2Cl)cc1,active,278.743,2.1189,2.0,4.0,7.251811972993799
CHEMBL4877696,CCn1ncc(Nc2ccc(CN)cc2)c(Cl)c1=O,active,289.72600000000006,1.6225800000000001,2.0,5.0,6.259637310505756
CHEMBL4863631,N#CCn1ncc(Nc2ccc(CN)cc2)c(Cl)c1=O,active,292.77000000000004,2.6799,2.0,4.0,6.42021640338319
CHEMBL4863529,CC(C)n1ncc(Nc2ccc(CN)cc2)c(Cl)c1=O,active,263.322,1.5888,1.0,5.0,6.102372908709558
CHEMBL4863800,CNc1cc(-c2ccccc2)nc(S(C)(=O)=O)n1,intermediate,314.37000000000006,2.1369999999999996,1.0,6.0,5.107905397309519
CHEMBL4872350,CNc1cc(-c2cccc3ncccc23)nc(S(C)(=O)=O)n1,intermediate,302.35900000000004,2.0700999999999996,2.0,5.0,5.769551078621726
CHEMBL4861375,CNc1cc(-c2ccc3[nH]ccc3c2)nc(S(C)(=O)=O)n1,active,387.50900000000007,2.4952000000000005,1.0,6.0,6.155957957958983
CHEMBL4867072,CNc1cc(-c2ccc3c(ccn3CCCN(C)C)c2)nc(S(C)(=O)=O)n1,active,373.4820000000001,2.1050999999999997,1.0,6.0,7.485452247339714
CHEMBL4868713,CNc1cc(-c2ccc3c(ccn3CCN(C)C)c2)nc(S(C)(=O)=O)n1,active,401.53600000000006,2.885300000000001,1.0,6.0,7.432973633840939
CHEMBL4870170,CCNc1cc(-c2ccc3c(ccn3CCCN(C)C)c2)nc(S(C)(=O)=O)n1,active,415.5630000000001,3.275400000000001,1.0,6.0,7.540607512240769
CHEMBL4860578,CCCNc1cc(-c2ccc3c(ccn3CCCN(C)C)c2)nc(S(C)(=O)=O)n1,active,429.5900000000001,3.6655000000000015,1.0,6.0,7.795880017344075
CHEMBL4852588,CCCCNc1cc(-c2ccc3c(ccn3CCCN(C)C)c2)nc(S(C)(=O)=O)n1,active,429.59000000000015,3.6639000000000017,1.0,6.0,6.943857737940948
CHEMBL4863921,CCC(C)Nc1cc(-c2ccc3c(ccn3CCCN(C)C)c2)nc(S(C)(=O)=O)n1,active,401.5360000000001,2.5195,0.0,6.0,6.541211118289155
CHEMBL4875586,CN(C)CCCn1ccc2cc(-c3cc(N(C)C)nc(S(C)(=O)=O)n3)ccc21,inactive,397.50400000000013,2.934800000000001,1.0,5.0,4.8326826652518236
CHEMBL4873042,CN(C)CCCn1ccc2cc(-c3nc(S(C)(=O)=O)nc4[nH]ccc34)ccc21,active,371.51000000000005,2.8291000000000004,1.0,5.0,7.570247719997592
CHEMBL4851594,CNc1cc(-c2ccc3c(ccn3CCCN(C)C)c2)nc([S+](C)[O-])n1,active,399.5640000000001,3.609300000000002,1.0,5.0,7.226945306635737
CHEMBL4853486,CCCNc1cc(-c2ccc3c(ccn3CCCN(C)C)c2)nc([S+](C)[O-])n1,active,387.50900000000007,2.4952000000000005,1.0,6.0,6.837435593476981
CHEMBL4872974,CNc1cc(-c2ccc3ccn(CCCN(C)C)c3c2)nc(S(C)(=O)=O)n1,intermediate,445.58900000000017,3.2840000000000016,1.0,7.0,5.6777807052660805
CHEMBL4862619,CCCNc1cc(-c2cc(OC)c3c(ccn3CCCN(C)C)c2)nc(S(C)(=O)=O)n1,active,429.59000000000015,3.583820000000002,1.0,6.0,7.195179321278838
CHEMBL4866637,CCCNc1cc(-c2ccc3c(c2)c(C)cn3CCCN(C)C)nc(S(C)(=O)=O)n1,active,411.5310000000002,3.2432200000000018,1.0,5.0,7.23210238398191
CHEMBL4861221,Cc1cn(CCCN(C)C)c2ccc(-c3nc(S(C)(=O)=O)nc4[nH]ccc34)cc12,active,381.52000000000027,2.9142400000000013,0.0,4.0,6.803271277376713
CHEMBL5209881,COc1cc(-c2cn(C)c(=O)c(C)c2C)ccc1C1(N2CCN(C)CC2)CC1,active,537.6210000000002,3.0201200000000012,1.0,7.0,7.236572006437063
CHEMBL4780673,Cc1c(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)nc2ccc(-c3cnn(C4CC4)c3)cn2c1=O,active,552.6360000000002,3.0967200000000012,2.0,8.0,7.795880017344075
CHEMBL4758581,Cc1c(Nc2ccc(S(=O)(=O)N3CCN(C)CC3)cc2F)nc2ccc(Nc3cnn(C4CC4)c3)cn2c1=O,inactive,198.65699999999998,0.5395999999999999,1.0,4.0,5.0
CHEMBL127023,Clc1ccc(N2CCNCC2)nn1,inactive,269.352,1.9382199999999996,2.0,5.0,3.1249387366083
CHEMBL5400051,NCC1CCN(c2cccc(F)c2)C1,inactive,188.27399999999994,2.0313,1.0,2.0,3.42021640338319
CHEMBL5414828,Cc1ccc(Nc2ccc(N3CCNCC3)nn2)cc1,inactive,178.25999999999993,2.08078,1.0,3.0,3.5228787452803374
CHEMBL130880,Nc1c2c(nc3c1CCC3)CCCC2,inactive,247.38199999999992,3.215300000000002,0.0,1.0,3.2291479883578558
CHEMBL1632047,N#Cc1c(N)sc2c1CCCC2,inactive,188.274,1.3421999999999998,1.0,2.0,3.886056647693163
CHEMBL1444734,O=C(CC12CC3CC(CC(C3)C1)C2)N1CCCC1,inactive,311.3890000000001,2.19712,1.0,5.0,3.3010299956639813
CHEMBL5418058,c1ccc(N2CC3CNCC3C2)cc1,inactive,192.28699999999992,2.470880000000001,1.0,3.0,3.8239087409443187
CHEMBL5432787,CC(=O)N1CCN(c2ccc(Nc3ccc(C)cc3)nn2)CC1,inactive,226.22599999999997,1.2764,1.0,2.0,2.9208187539523753
CHEMBL1632046,N#Cc1c(N)sc2c1CCCCC2,inactive,221.28499999999997,1.1065800000000001,1.0,4.0,4.200659450546418
CHEMBL5394921,NCC1CC(=O)N(c2ccc(F)c(F)c2)C1,inactive,270.34,1.3332199999999994,2.0,6.0,3.657577319177794
CHEMBL5394699,CC(=O)N1CCc2c(sc(N)c2C#N)C1,inactive,256.31299999999993,1.0247999999999995,2.0,6.0,3.42021640338319
CHEMBL4982613,Cc1ccc(Nc2ccc(N3CCNCC3)nn2)nc1,inactive,273.31499999999994,1.7688999999999997,2.0,5.0,4.522878745280337
CHEMBL5416607,c1ccc(Nc2ccc(N3CCNCC3)nn2)nc1,inactive,,,,,4.698970004336019
CHEMBL5432936,Fc1ccc(Nc2ccc(N3CCNCC3)nn2)cc1,inactive,,,,,4.6020599913279625
,,,377.2860000000001,2.4425999999999997,1.0,4.0,
,,,194.253,1.6107,1.0,2.0,
